Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,0,13,2,15.4,0.41,0.06,0.00,0.00,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,7,49,24,49.0,2.16,01.06,0.14,0.29,12.9,0,0,0,7.1,7.1,0.14,-0.1,-0.1,Matches
3,Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,1,13,4,30.8,0.64,0.20,0.08,0.25,16.9,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,1,7,1,14.3,0.32,0.05,0.14,1.00,9.1,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,2,5,2,40.0,0.49,0.20,0.40,1.00,5.8,0,0,0,1.1,1.1,0.23,+0.9,+0.9,Matches
6,Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,1,4,1,25.0,0.32,0.08,0.25,1.00,16.7,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,1,25,6,24.0,1.47,0.35,0.04,0.17,18.2,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2,51,14,27.5,1.61,0.44,0.04,0.14,23.0,5,0,0,2.7,2.7,0.05,-0.7,-0.7,Matches
9,Alisson,br BRA,GK,Liverpool,28,1992,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Allan,br BRA,MF,Everton,30,1991,24.3,0,7,3,42.9,0.29,0.12,0.00,0.00,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
11,Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,1,4,2,50.0,0.55,0.27,0.00,0.00,18.2,0,1,1,1.5,0.7,0.18,-0.5,-0.7,Matches
12,Dele Alli,eng ENG,MF,Everton,25,1996,3.8,0,3,0,0.0,0.80,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,1,32,7,21.9,1.68,0.37,0.03,0.14,18.7,0,0,0,2.1,2.1,0.06,-1.1,-1.1,Matches
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,4,43,10,23.3,1.79,0.42,0.09,0.40,18.9,9,0,0,3.3,3.3,0.08,+0.7,+0.7,Matches
15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,0,1,1,100.0,0.22,0.22,0.00,0.00,18.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,0,2,1,50.0,0.08,0.04,0.00,0.00,32.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,0,8,3,37.5,0.25,0.09,0.00,0.00,14.0,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,10,83,27,32.5,2.51,0.82,0.12,0.37,14.3,0,0,1,11.1,10.8,0.13,-1.1,-0.8,Matches
19,Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,0,1,0,0.0,3.33,0.00,0.00,,13.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,2,47,14,29.8,2.99,0.89,0.04,0.14,17.0,0,0,0,4.3,4.3,0.09,-2.3,-2.3,Matches
22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,2,38,9,23.7,2.32,0.55,0.05,0.22,19.8,0,0,0,2.8,2.8,0.07,-0.8,-0.8,Matches
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,4,33,16,48.5,2.86,1.39,0.12,0.25,14.2,0,0,2,5.8,4.1,0.13,-1.8,-0.1,Matches
26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,3,35,8,22.9,1.56,0.36,0.09,0.38,16.4,1,0,0,3.7,3.7,0.11,-0.7,-0.7,Matches
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,2,19,3,15.8,0.75,0.12,0.11,0.67,12.8,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23.0,1,13,4,30.8,0.57,0.17,0.08,0.25,13.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,1,21,8,38.1,2.48,0.95,0.05,0.13,18.7,4,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,0,3,0,0.0,3.86,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,2,20,5,25.0,3.22,0.81,0.10,0.40,13.6,0,0,0,3.9,3.9,0.20,-1.9,-1.9,Matches
34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,1,12,4,33.3,1.19,0.40,0.08,0.25,18.9,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
35,Ross Barkley,eng ENG,MF,Chelsea,27,1993,2.0,1,9,4,44.4,4.53,02.01,0.11,0.25,20.9,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches
36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9.0,1,15,5,33.3,1.67,0.56,0.00,0.00,16.0,0,1,1,1.8,1.0,0.07,-0.8,-1.0,Matches
37,Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,6,67,24,35.8,2.87,01.03,0.09,0.25,15.7,0,0,0,6.8,6.8,0.10,-0.8,-0.8,Matches
38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,0,1,0,0.0,0.62,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,0,2,0,0.0,0.22,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
40,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,4,19,7,36.8,0.65,0.24,0.21,0.57,7.9,0,0,0,2.4,2.4,0.13,+1.6,+1.6,Matches
41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,1,2,1,50.0,2.40,1.20,0.50,1.00,9.3,0,0,0,0.7,0.7,0.36,+0.3,+0.3,Matches
42,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,1,5,1,20.0,0.93,0.19,0.20,1.00,19.4,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches
43,Asmir Begović,ba BIH,GK,Everton,34,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,8,63,22,34.9,2.62,0.91,0.13,0.36,18.7,3,0,0,5.1,5.1,0.08,+2.9,+2.9,Matches
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,0,14,2,14.3,0.93,0.13,0.00,0.00,18.6,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
46,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,4,39,13,33.3,03.07,01.02,0.10,0.31,11.4,0,0,0,5.4,5.4,0.14,-1.4,-1.4,Matches
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,0,19,4,21.1,1.55,0.33,0.00,0.00,19.7,2,0,0,1.7,1.7,0.09,-1.7,-1.7,Matches
48,Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,3,19,10,52.6,03.03,1.59,0.16,0.30,15.9,0,0,0,3.1,3.1,0.16,-0.1,-0.1,Matches
49,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
50,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
51,Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,1,21,5,23.8,0.90,0.21,0.05,0.20,24.0,1,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches
52,Willy Boly,ci CIV,DF,Wolves,30,1991,10.0,0,2,1,50.0,0.20,0.10,0.00,0.00,8.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
53,Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,12,80,33,41.3,2.41,1.00,0.15,0.36,15.4,0,0,0,11.1,11.1,0.14,+0.9,+0.9,Matches
54,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,1,3,2,66.7,0.70,0.46,0.33,0.50,12.7,0,0,0,0.4,0.4,0.14,+0.6,+0.6,Matches
55,Armando Broja,al ALB,FW,Southampton,19,2001,21.9,6,48,19,39.6,2.19,0.87,0.13,0.32,12.1,0,0,0,7.0,7.0,0.15,-1.0,-1.0,Matches
56,Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,2,29,9,31.0,0.88,0.27,0.07,0.22,22.2,4,0,0,1.4,1.4,0.05,+0.6,+0.6,Matches
57,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
58,Bryan,es ESP,FWMF,Tottenham,20,2001,1.0,0,1,1,100.0,0.96,0.96,0.00,0.00,16.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
59,Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,4,44,14,31.8,02.09,0.66,0.09,0.29,17.0,0,0,0,3.1,3.1,0.07,+0.9,+0.9,Matches
60,Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16.0,0,11,1,9.1,0.69,0.06,0.00,0.00,9.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
61,Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,1,7,3,42.9,0.62,0.26,0.14,0.33,7.4,0,0,0,1.3,1.3,0.18,-0.3,-0.3,Matches
62,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,0,7,1,14.3,0.61,0.09,0.00,0.00,8.9,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
64,Willy Caballero,ar ARG,GK,Southampton,39,1981,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
65,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,1,10,4,40.0,1.36,0.55,0.10,0.25,17.5,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
66,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,5,30,11,36.7,2.10,0.77,0.10,0.27,13.1,0,2,3,6.8,4.6,0.15,-1.8,-1.6,Matches
67,Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
68,João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,1,81,23,28.4,2.26,0.64,0.01,0.04,21.5,1,0,0,4.1,4.1,0.05,-3.1,-3.1,Matches
69,Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,3,33,12,36.4,1.43,0.52,0.09,0.25,16.4,1,0,0,3.0,3.0,0.09,0.0,0.0,Matches
70,Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,0,4,0,0.0,0.82,0.00,0.00,,28.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
71,Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,4,36,13,36.1,0.96,0.35,0.11,0.31,18.2,0,0,0,2.4,2.4,0.07,+1.6,+1.6,Matches
72,Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,1,7,3,42.9,0.30,0.13,0.14,0.33,14.5,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
73,Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,2,10,5,50.0,0.88,0.44,0.20,0.40,18.9,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Matches
74,Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,0,3,0,0.0,0.11,0.00,0.00,,8.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
75,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,2,18,6,33.3,2.11,0.70,0.11,0.33,11.4,0,0,0,3.4,3.4,0.19,-1.4,-1.4,Matches
76,Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,3,9,7,77.8,0.56,0.43,0.33,0.43,18.4,0,0,0,1.0,1.0,0.11,+2.0,+2.0,Matches
78,Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,0,2,0,0.0,01.06,0.00,0.00,,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
79,Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,1,3,1,33.3,0.32,0.11,0.33,1.00,14.7,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
80,Daniel Chesters,eng ENG,MF,West Ham,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
81,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6.0,3,13,6,46.2,2.16,1.00,0.23,0.50,17.9,0,0,0,1.2,1.2,0.09,+1.8,+1.8,Matches
82,Chiquinho,pt POR,DFMF,Wolves,21,2000,2.3,0,5,2,40.0,2.16,0.87,0.00,0.00,11.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
83,Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,0,1,0,0.0,0.32,0.00,0.00,,12.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
84,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,0,5,0,0.0,0.30,0.00,0.00,,19.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
85,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,17,2004,3.3,0,4,1,25.0,1.20,0.30,0.00,0.00,15.9,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
86,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,0,7,1,14.3,0.62,0.09,0.00,0.00,7.0,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
87,Tom Cleverley,eng ENG,MF,Watford,31,1989,18.0,0,13,7,53.8,0.72,0.39,0.00,0.00,23.1,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
88,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15.0,0,3,2,66.7,0.20,0.13,0.00,0.00,24.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
89,Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,4,12,4,33.3,0.32,0.11,0.33,1.00,11.7,0,0,0,2.0,2.0,0.16,+2.0,+2.0,Matches
90,Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,1,8,1,12.5,0.27,0.03,0.13,1.00,17.2,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
91,Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,2,15,5,33.3,0.81,0.27,0.13,0.40,8.4,0,0,0,1.6,1.6,0.10,+0.4,+0.4,Matches
92,Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,0,2,0,0.0,1.15,0.00,0.00,,14.9,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
93,Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,0,5,1,20.0,0.25,0.05,0.00,0.00,10.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
94,Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,1,7,1,14.3,0.38,0.05,0.14,1.00,17.4,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
95,Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,9,46,22,47.8,2.34,1.12,0.20,0.41,16.6,4,0,1,6.7,5.9,0.13,+2.3,+3.1,Matches
96,Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,0,1,0,0.0,04.09,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
97,Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,0,11,4,36.4,0.45,0.16,0.00,0.00,17.0,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
98,Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,5,43,16,37.2,2.91,01.08,0.12,0.31,20.6,5,0,0,3.7,3.7,0.09,+1.3,+1.3,Matches
99,Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,2,18,3,16.7,0.59,0.10,0.11,0.67,19.9,8,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches
100,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,0,1,0,0.0,0.64,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
101,Cucho,co COL,FWMF,Watford,22,1999,12.7,5,35,10,28.6,2.75,0.78,0.14,0.50,18.7,5,0,0,2.5,2.5,0.07,+2.5,+2.5,Matches
102,Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,1,18,3,16.7,0.52,0.09,0.06,0.33,20.9,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
103,Luke Cundle,eng ENG,MF,Wolves,19,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,5,26,15,57.7,02.02,1.16,0.19,0.33,15.4,0,0,0,4.7,4.7,0.18,+0.3,+0.3,Matches
105,Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,1,31,8,25.8,0.96,0.25,0.03,0.13,21.1,0,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches
106,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20.0,0,13,4,30.8,0.65,0.20,0.00,0.00,21.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
107,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
108,Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,0,1,0,0.0,0.35,0.00,0.00,,14.2,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
109,Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,1,19,7,36.8,0.67,0.25,0.05,0.14,16.3,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches
110,Tom Davies,eng ENG,MF,Everton,23,1998,2.6,1,6,2,33.3,2.31,0.77,0.17,0.50,16.4,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
111,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
112,Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,2,25,5,20.0,0.82,0.16,0.08,0.40,7.7,0,0,0,2.9,2.9,0.12,-0.9,-0.9,Matches
113,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,15,77,31,40.3,3.15,1.27,0.19,0.48,18.6,7,0,0,6.4,6.4,0.08,+8.6,+8.6,Matches
114,Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,0,2,0,0.0,7.20,0.00,0.00,,9.0,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
115,Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
116,Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,0,2,0,0.0,0.27,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
117,Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,2,23,10,43.5,01.06,0.46,0.09,0.20,15.2,0,0,0,2.6,2.6,0.11,-0.6,-0.6,Matches
118,Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,10,61,27,44.3,2.13,0.94,0.16,0.37,14.9,6,0,0,7.5,7.5,0.12,+2.5,+2.5,Matches
119,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,22,1998,23.4,1,21,3,14.3,0.90,0.13,0.05,0.33,20.7,1,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
120,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,0,8,4,50.0,0.70,0.35,0.00,0.00,20.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
121,Raphael Dias Belloli,br BRA,FWMF,Leeds United,24,1996,32.4,11,85,21,24.7,2.62,0.65,0.08,0.33,20.2,10,4,4,11.2,8.2,0.10,-0.2,-1.2,Matches
122,Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,2,18,4,22.2,0.67,0.15,0.11,0.50,10.6,0,0,0,2.2,2.2,0.12,-0.2,-0.2,Matches
123,Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,4,38,14,36.8,3.57,1.32,0.11,0.29,16.0,0,0,0,4.5,4.5,0.12,-0.5,-0.5,Matches
124,Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,0,13,4,30.8,0.38,0.12,0.00,0.00,13.5,4,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
125,Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,0,9,2,22.2,0.64,0.14,0.00,0.00,17.8,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
126,Lucas Digne,fr FRA,DF,Everton,28,1993,13.0,0,9,1,11.1,0.69,0.08,0.00,0.00,21.1,3,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
127,Virgil van Dijk,nl NED,DF,Liverpool,30,1991,34.0,3,35,13,37.1,01.03,0.38,0.09,0.23,11.8,1,0,0,2.4,2.4,0.07,+0.6,+0.6,Matches
128,Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,0,2,2,100.0,0.19,0.19,0.00,0.00,7.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
129,Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,0,11,1,9.1,2.17,0.20,0.00,0.00,16.1,0,0,0,1.5,1.5,0.14,-1.5,-1.5,Matches
130,Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
131,Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,2,16,6,37.5,1.65,0.62,0.13,0.33,13.8,0,0,0,2.5,2.5,0.16,-0.5,-0.5,Matches
132,Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34.0,5,30,12,40.0,0.88,0.35,0.17,0.42,11.0,0,0,0,2.7,2.7,0.09,+2.3,+2.3,Matches
133,Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,2,34,10,29.4,1.21,0.35,0.06,0.20,17.3,0,0,0,2.7,2.7,0.08,-0.7,-0.7,Matches
134,Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,1,8,2,25.0,0.79,0.20,0.13,0.50,22.1,3,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches
135,Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
136,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
